date,product_name,category,quantity_sold,price,day_of_week,is_holiday,weather_condition
2024-01-01,Rice,Vegetables,120,850.00,Tuesday,1,Rainy
2024-01-02,Rice,Vegetables,98,850.00,Wednesday,0,Sunny
2024-01-03,Rice,Vegetables,85,850.00,Thursday,0,Sunny
2024-01-04,Rice,Vegetables,110,855.00,Friday,0,Cloudy
2024-01-05,Rice,Vegetables,65,855.00,Saturday,0,Rainy
2024-01-06,Rice,Vegetables,45,860.00,Sunday,0,Cloudy
2024-01-07,Rice,Vegetables,50,860.00,Monday,0,Sunny
2024-01-08,Rice,Vegetables,115,865.00,Tuesday,0,Rainy
2024-01-09,Rice,Vegetables,90,865.00,Wednesday,0,Sunny
2024-01-10,Rice,Vegetables,75,870.00,Thursday,0,Cloudy
2024-01-11,Rice,Vegetables,95,870.00,Friday,1,Rainy
2024-01-12,Rice,Vegetables,80,875.00,Saturday,0,Sunny
2024-01-13,Rice,Vegetables,60,875.00,Sunday,0,Cloudy
2024-01-14,Rice,Vegetables,70,880.00,Monday,0,Sunny
2024-01-15,Rice,Vegetables,100,880.00,Tuesday,0,Rainy
2024-01-16,Rice,Vegetables,88,885.00,Wednesday,0,Cloudy
2024-01-17,Rice,Vegetables,55,885.00,Thursday,0,Sunny
2024-01-18,Rice,Vegetables,82,890.00,Friday,0,Rainy
2024-01-19,Rice,Vegetables,78,890.00,Saturday,0,Cloudy
2024-01-20,Rice,Vegetables,65,895.00,Sunday,0,Sunny
2024-01-21,Rice,Vegetables,92,895.00,Monday,0,Rainy
2024-01-22,Rice,Vegetables,105,900.00,Tuesday,1,Cloudy
2024-01-23,Rice,Vegetables,72,900.00,Wednesday,0,Sunny
2024-01-24,Rice,Vegetables,58,905.00,Thursday,0,Rainy
2024-01-25,Rice,Vegetables,95,905.00,Friday,0,Sunny
2024-01-26,Rice,Vegetables,68,910.00,Saturday,0,Cloudy
2024-01-27,Rice,Vegetables,85,910.00,Sunday,0,Rainy
2024-01-28,Rice,Vegetables,110,915.00,Monday,0,Sunny
2024-01-29,Rice,Vegetables,75,915.00,Tuesday,0,Cloudy
2024-01-30,Rice,Vegetables,62,920.00,Wednesday,0,Rainy
2024-01-01,Fish,Fish,40,1800.00,Tuesday,1,Cloudy
2024-01-02,Fish,Fish,35,1800.00,Wednesday,0,Sunny
2024-01-03,Fish,Fish,28,1810.00,Thursday,0,Rainy
2024-01-04,Fish,Fish,42,1810.00,Friday,0,Sunny
2024-01-05,Fish,Fish,30,1820.00,Saturday,0,Cloudy
2024-01-06,Fish,Fish,22,1820.00,Sunday,0,Rainy
2024-01-07,Fish,Fish,25,1830.00,Monday,0,Sunny
2024-01-08,Fish,Fish,38,1830.00,Tuesday,0,Sunny
2024-01-09,Fish,Fish,32,1840.00,Wednesday,0,Cloudy
2024-01-10,Fish,Fish,20,1840.00,Thursday,0,Rainy
2024-01-11,Fish,Fish,35,1850.00,Friday,1,Sunny
2024-01-12,Fish,Fish,28,1850.00,Saturday,0,Cloudy
2024-01-13,Fish,Fish,18,1860.00,Sunday,0,Rainy
2024-01-14,Fish,Fish,30,1860.00,Monday,0,Sunny
2024-01-15,Fish,Fish,40,1870.00,Tuesday,0,Cloudy
2024-01-16,Fish,Fish,26,1870.00,Wednesday,0,Rainy
2024-01-17,Fish,Fish,22,1880.00,Thursday,0,Sunny
2024-01-18,Fish,Fish,34,1880.00,Friday,0,Cloudy
2024-01-19,Fish,Fish,28,1890.00,Saturday,0,Sunny
2024-01-20,Fish,Fish,16,1890.00,Sunday,0,Rainy
2024-01-21,Fish,Fish,32,1900.00,Monday,0,Cloudy
2024-01-22,Fish,Fish,38,1900.00,Tuesday,1,Sunny
2024-01-23,Fish,Fish,24,1910.00,Wednesday,0,Rainy
2024-01-24,Fish,Fish,20,1910.00,Thursday,0,Cloudy
2024-01-25,Fish,Fish,36,1920.00,Friday,0,Sunny
2024-01-26,Fish,Fish,30,1920.00,Saturday,0,Rainy
2024-01-27,Fish,Fish,15,1930.00,Sunday,0,Cloudy
2024-01-28,Fish,Fish,28,1930.00,Monday,0,Sunny
2024-01-29,Fish,Fish,34,1940.00,Tuesday,0,Rainy
2024-01-30,Fish,Fish,22,1940.00,Wednesday,0,Sunny
2024-01-01,Chicken,Meat,95,1200.00,Tuesday,1,Sunny
2024-01-02,Chicken,Meat,88,1200.00,Wednesday,0,Rainy
2024-01-03,Chicken,Meat,75,1210.00,Thursday,0,Cloudy
2024-01-04,Chicken,Meat,102,1210.00,Friday,0,Sunny
2024-01-05,Chicken,Meat,80,1220.00,Saturday,0,Rainy
2024-01-06,Chicken,Meat,60,1220.00,Sunday,0,Cloudy
2024-01-07,Chicken,Meat,65,1230.00,Monday,0,Sunny
2024-01-08,Chicken,Meat,98,1230.00,Tuesday,0,Rainy
2024-01-09,Chicken,Meat,85,1240.00,Wednesday,0,Sunny
2024-01-10,Chicken,Meat,70,1240.00,Thursday,0,Cloudy
2024-01-11,Chicken,Meat,92,1250.00,Friday,1,Rainy
2024-01-12,Chicken,Meat,78,1250.00,Saturday,0,Sunny
2024-01-13,Chicken,Meat,55,1260.00,Sunday,0,Cloudy
2024-01-14,Chicken,Meat,72,1260.00,Monday,0,Rainy
2024-01-15,Chicken,Meat,95,1270.00,Tuesday,0,Sunny
2024-01-16,Chicken,Meat,82,1270.00,Wednesday,0,Cloudy
2024-01-17,Chicken,Meat,68,1280.00,Thursday,0,Rainy
2024-01-18,Chicken,Meat,88,1280.00,Friday,0,Sunny
2024-01-19,Chicken,Meat,75,1290.00,Saturday,0,Cloudy
2024-01-20,Chicken,Meat,50,1290.00,Sunday,0,Rainy
2024-01-21,Chicken,Meat,85,1300.00,Monday,0,Sunny
2024-01-22,Chicken,Meat,100,1300.00,Tuesday,1,Cloudy
2024-01-23,Chicken,Meat,72,1310.00,Wednesday,0,Rainy
2024-01-24,Chicken,Meat,62,1310.00,Thursday,0,Sunny
2024-01-25,Chicken,Meat,90,1320.00,Friday,0,Cloudy
2024-01-26,Chicken,Meat,78,1320.00,Saturday,0,Rainy
2024-01-27,Chicken,Meat,58,1330.00,Sunday,0,Sunny
2024-01-28,Chicken,Meat,82,1330.00,Monday,0,Cloudy
2024-01-29,Chicken,Meat,95,1340.00,Tuesday,0,Rainy
2024-01-30,Chicken,Meat,68,1340.00,Wednesday,0,Sunny
2024-01-01,Beans,Vegetables,55,400.00,Tuesday,1,Rainy
2024-01-02,Beans,Vegetables,48,400.00,Wednesday,0,Sunny
2024-01-03,Beans,Vegetables,40,410.00,Thursday,0,Cloudy
2024-01-04,Beans,Vegetables,60,410.00,Friday,0,Rainy
2024-01-05,Beans,Vegetables,50,420.00,Saturday,0,Sunny
2024-01-06,Beans,Vegetables,35,420.00,Sunday,0,Cloudy
2024-01-07,Beans,Vegetables,38,430.00,Monday,0,Rainy
2024-01-08,Beans,Vegetables,58,430.00,Tuesday,0,Sunny
2024-01-09,Beans,Vegetables,45,440.00,Wednesday,0,Cloudy
2024-01-10,Beans,Vegetables,32,440.00,Thursday,0,Rainy
2024-01-11,Beans,Vegetables,52,450.00,Friday,1,Sunny
2024-01-12,Beans,Vegetables,42,450.00,Saturday,0,Cloudy
2024-01-13,Beans,Vegetables,28,460.00,Sunday,0,Rainy
2024-01-14,Beans,Vegetables,36,460.00,Monday,0,Sunny
2024-01-15,Beans,Vegetables,55,470.00,Tuesday,0,Cloudy
2024-01-16,Beans,Vegetables,44,470.00,Wednesday,0,Rainy
2024-01-17,Beans,Vegetables,30,480.00,Thursday,0,Sunny
2024-01-18,Beans,Vegetables,48,480.00,Friday,0,Cloudy
2024-01-19,Beans,Vegetables,40,490.00,Saturday,0,Rainy
2024-01-20,Beans,Vegetables,25,490.00,Sunday,0,Sunny
2024-01-21,Beans,Vegetables,50,500.00,Monday,0,Cloudy
2024-01-22,Beans,Vegetables,56,500.00,Tuesday,1,Rainy
2024-01-23,Beans,Vegetables,38,510.00,Wednesday,0,Sunny
2024-01-24,Beans,Vegetables,35,510.00,Thursday,0,Cloudy
2024-01-25,Beans,Vegetables,52,520.00,Friday,0,Rainy
2024-01-26,Beans,Vegetables,44,520.00,Saturday,0,Sunny
2024-01-27,Beans,Vegetables,22,530.00,Sunday,0,Cloudy
2024-01-28,Beans,Vegetables,42,530.00,Monday,0,Rainy
2024-01-29,Beans,Vegetables,48,540.00,Tuesday,0,Sunny
2024-01-30,Beans,Vegetables,30,540.00,Wednesday,0,Cloudy
2024-01-01,Tuna,Fish,30,1500.00,Tuesday,1,Sunny
2024-01-02,Tuna,Fish,25,1500.00,Wednesday,0,Cloudy
2024-01-03,Tuna,Fish,18,1510.00,Thursday,0,Rainy
2024-01-04,Tuna,Fish,35,1510.00,Friday,0,Sunny
2024-01-05,Tuna,Fish,22,1520.00,Saturday,0,Cloudy
2024-01-06,Tuna,Fish,15,1520.00,Sunday,0,Rainy
2024-01-07,Tuna,Fish,20,1530.00,Monday,0,Sunny
2024-01-08,Tuna,Fish,32,1530.00,Tuesday,0,Cloudy
2024-01-09,Tuna,Fish,28,1540.00,Wednesday,0,Rainy
2024-01-10,Tuna,Fish,12,1540.00,Thursday,0,Sunny
2024-01-11,Tuna,Fish,28,1550.00,Friday,1,Cloudy
2024-01-12,Tuna,Fish,20,1550.00,Saturday,0,Rainy
2024-01-13,Tuna,Fish,14,1560.00,Sunday,0,Sunny
2024-01-14,Tuna,Fish,24,1560.00,Monday,0,Cloudy
2024-01-15,Tuna,Fish,32,1570.00,Tuesday,0,Rainy
2024-01-16,Tuna,Fish,18,1570.00,Wednesday,0,Sunny
2024-01-17,Tuna,Fish,16,1580.00,Thursday,0,Cloudy
2024-01-18,Tuna,Fish,30,1580.00,Friday,0,Rainy
2024-01-19,Tuna,Fish,22,1590.00,Saturday,0,Sunny
2024-01-20,Tuna,Fish,10,1590.00,Sunday,0,Cloudy
2024-01-21,Tuna,Fish,26,1600.00,Monday,0,Rainy
2024-01-22,Tuna,Fish,34,1600.00,Tuesday,1,Sunny
2024-01-23,Tuna,Fish,18,1610.00,Wednesday,0,Cloudy
2024-01-24,Tuna,Fish,15,1610.00,Thursday,0,Rainy
2024-01-25,Tuna,Fish,28,1620.00,Friday,0,Sunny
2024-01-26,Tuna,Fish,20,1620.00,Saturday,0,Cloudy
2024-01-27,Tuna,Fish,12,1630.00,Sunday,0,Rainy
2024-01-28,Tuna,Fish,24,1630.00,Monday,0,Sunny
2024-01-29,Tuna,Fish,30,1640.00,Tuesday,0,Cloudy
2024-01-30,Tuna,Fish,16,1640.00,Wednesday,0,Rainy
2024-01-01,Pork,Meat,70,1400.00,Tuesday,1,Rainy
2024-01-02,Pork,Meat,62,1400.00,Wednesday,0,Sunny
2024-01-03,Pork,Meat,55,1410.00,Thursday,0,Cloudy
2024-01-04,Pork,Meat,78,1410.00,Friday,0,Rainy
2024-01-05,Pork,Meat,65,1420.00,Saturday,0,Sunny
2024-01-06,Pork,Meat,45,1420.00,Sunday,0,Cloudy
2024-01-07,Pork,Meat,48,1430.00,Monday,0,Rainy
2024-01-08,Pork,Meat,72,1430.00,Tuesday,0,Sunny
2024-01-09,Pork,Meat,58,1440.00,Wednesday,0,Cloudy
2024-01-10,Pork,Meat,42,1440.00,Thursday,0,Rainy
2024-01-11,Pork,Meat,68,1450.00,Friday,1,Sunny
2024-01-12,Pork,Meat,55,1450.00,Saturday,0,Cloudy
2024-01-13,Pork,Meat,38,1460.00,Sunday,0,Rainy
2024-01-14,Pork,Meat,50,1460.00,Monday,0,Sunny
2024-01-15,Pork,Meat,75,1470.00,Tuesday,0,Cloudy
2024-01-16,Pork,Meat,60,1470.00,Wednesday,0,Rainy
2024-01-17,Pork,Meat,42,1480.00,Thursday,0,Sunny
2024-01-18,Pork,Meat,65,1480.00,Friday,0,Cloudy
2024-01-19,Pork,Meat,52,1490.00,Saturday,0,Rainy
2024-01-20,Pork,Meat,35,1490.00,Sunday,0,Sunny
2024-01-21,Pork,Meat,58,1500.00,Monday,0,Cloudy
2024-01-22,Pork,Meat,72,1500.00,Tuesday,1,Rainy
2024-01-23,Pork,Meat,48,1510.00,Wednesday,0,Sunny
2024-01-24,Pork,Meat,40,1510.00,Thursday,0,Cloudy
2024-01-25,Pork,Meat,68,1520.00,Friday,0,Rainy
2024-01-26,Pork,Meat,55,1520.00,Saturday,0,Sunny
2024-01-27,Pork,Meat,32,1530.00,Sunday,0,Cloudy
2024-01-28,Pork,Meat,52,1530.00,Monday,0,Rainy
2024-01-29,Pork,Meat,62,1540.00,Tuesday,0,Sunny
2024-01-30,Pork,Meat,45,1540.00,Wednesday,0,Cloudy
