date,product_name,category,quantity_sold,price,day_of_week,is_holiday,weather_condition
2023-01-01,Beans,vegetable,123,222.15,Sunday,0,rainy
2023-01-01,Beans,vegetable,118,127.42,Sunday,0,sunny
2023-01-01,Tuna,fish,43,2379.55,Sunday,0,cloudy
2023-01-01,Carrot,vegetable,139,171.73,Sunday,0,cloudy
2023-01-01,Tomato,vegetable,174,150.58,Sunday,0,sunny
2023-01-01,Chicken,meat,79,1075.11,Sunday,0,sunny
2023-01-02,Potato,vegetable,118,340.28,Monday,0,cloudy
2023-01-02,Tomato,vegetable,100,312.69,Monday,0,cloudy
2023-01-02,Seer Fish,fish,37,1283.81,Monday,0,cloudy
2023-01-02,Tomato,vegetable,118,230.51,Monday,0,sunny
2023-01-02,Tuna,fish,38,1663.12,Monday,0,sunny
2023-01-04,Potato,vegetable,129,317.64,Wednesday,0,sunny
2023-01-04,Carrot,vegetable,78,342.97,Wednesday,0,cloudy
2023-01-04,Carrot,vegetable,141,103.05,Wednesday,0,rainy
2023-01-04,Tomato,vegetable,129,150.02,Wednesday,0,cloudy
2023-01-06,Seer Fish,fish,32,1222.8,Friday,0,sunny
2023-01-08,Tomato,vegetable,146,275.65,Sunday,0,sunny
2023-01-09,Chicken,meat,58,845.85,Monday,0,cloudy
2023-01-09,Pork,meat,58,1001.91,Monday,0,rainy
2023-01-09,Seer Fish,fish,57,1755.23,Monday,1,rainy
2023-01-09,Tomato,vegetable,121,220.05,Monday,0,sunny
2023-01-09,Carrot,vegetable,87,325.05,Monday,0,sunny
2023-01-10,Potato,vegetable,154,134.13,Tuesday,0,cloudy
2023-01-10,Tuna,fish,57,1519.3,Tuesday,1,cloudy
2023-01-10,Potato,vegetable,115,327.88,Tuesday,0,cloudy
2023-01-10,Pork,meat,37,1394.52,Tuesday,0,cloudy
2023-01-10,Potato,vegetable,159,302.6,Tuesday,0,rainy
2023-01-10,Potato,vegetable,136,255.29,Tuesday,0,sunny
2023-01-12,Potato,vegetable,200,213.51,Thursday,1,cloudy
2023-01-13,Tuna,fish,42,1835.3,Friday,0,rainy
2023-01-13,Carrot,vegetable,102,217.35,Friday,0,sunny
2023-01-13,Pork,meat,50,836.79,Friday,0,sunny
2023-01-13,Seer Fish,fish,33,2369.52,Friday,0,rainy
2023-01-15,Pork,meat,60,889.53,Sunday,0,sunny
2023-01-15,Pork,meat,79,1372.65,Sunday,1,sunny
2023-01-15,Beans,vegetable,98,289.21,Sunday,0,sunny
2023-01-17,Seer Fish,fish,31,2088.62,Tuesday,0,sunny
2023-01-17,Seer Fish,fish,30,2315.32,Tuesday,0,rainy
2023-01-17,Pork,meat,61,1218.17,Tuesday,1,cloudy
2023-01-17,Tuna,fish,36,1607.14,Tuesday,0,cloudy
2023-01-18,Tomato,vegetable,110,268.32,Wednesday,0,cloudy
2023-01-18,Tomato,vegetable,159,301.54,Wednesday,1,sunny
2023-01-19,Beans,vegetable,138,177.22,Thursday,1,rainy
2023-01-19,Beans,vegetable,68,320.23,Thursday,0,sunny
2023-01-20,Pork,meat,62,979.46,Friday,1,sunny
2023-01-21,Beans,vegetable,148,109.34,Saturday,0,rainy
2023-01-21,Tomato,vegetable,189,206.85,Saturday,0,rainy
2023-01-22,Carrot,vegetable,144,147.27,Sunday,0,sunny
2023-01-22,Chicken,meat,89,1103.14,Sunday,0,sunny
2023-01-22,Tomato,vegetable,172,189.54,Sunday,0,sunny
2023-01-22,Tuna,fish,49,2144.15,Sunday,0,sunny
2023-01-23,Tomato,vegetable,131,168.62,Monday,0,cloudy
2023-01-23,Tuna,fish,55,1496.87,Monday,0,rainy
2023-01-23,Tomato,vegetable,119,163.61,Monday,0,sunny
2023-01-23,Chicken,meat,64,898.53,Monday,0,sunny
2023-01-23,Seer Fish,fish,41,1437.3,Monday,0,sunny
2023-01-23,Tomato,vegetable,150,184.35,Monday,0,rainy
2023-01-23,Beans,vegetable,82,194.43,Monday,0,cloudy
2023-01-23,Chicken,meat,56,1577.87,Monday,0,sunny
2023-01-23,Chicken,meat,63,1279.32,Monday,0,sunny
2023-01-24,Seer Fish,fish,33,1846.09,Tuesday,0,cloudy
2023-01-24,Carrot,vegetable,121,215.75,Tuesday,0,rainy
2023-01-26,Beans,vegetable,92,228.58,Thursday,0,rainy
2023-01-27,Seer Fish,fish,23,2242.81,Friday,0,cloudy
2023-01-27,Carrot,vegetable,112,270.33,Friday,0,rainy
2023-01-27,Carrot,vegetable,81,251.4,Friday,0,cloudy
2023-01-27,Potato,vegetable,130,349.37,Friday,0,rainy
2023-01-28,Tomato,vegetable,152,247.97,Saturday,0,sunny
2023-01-28,Pork,meat,61,1184.89,Saturday,0,sunny
2023-01-29,Seer Fish,fish,37,2252.45,Sunday,0,cloudy
2023-01-29,Pork,meat,67,1437.64,Sunday,0,rainy
2023-01-29,Tuna,fish,50,1353.84,Sunday,0,cloudy
2023-01-30,Tomato,vegetable,164,184.03,Monday,0,rainy
2023-01-30,Pork,meat,33,1159.66,Monday,0,sunny
2023-01-30,Chicken,meat,59,955.21,Monday,0,cloudy
2023-01-30,Pork,meat,41,1367.83,Monday,0,sunny
2023-01-30,Seer Fish,fish,23,2117.66,Monday,0,sunny
2023-01-31,Seer Fish,fish,31,2085.36,Tuesday,0,rainy
2023-01-31,Beans,vegetable,112,134.74,Tuesday,0,rainy
2023-01-31,Beans,vegetable,88,320.03,Tuesday,0,rainy
2023-02-02,Carrot,vegetable,106,202.22,Thursday,0,cloudy
2023-02-02,Tomato,vegetable,164,253.73,Thursday,1,sunny
2023-02-02,Pork,meat,46,885.64,Thursday,0,sunny
2023-02-02,Tuna,fish,49,1536.72,Thursday,0,rainy
2023-02-03,Chicken,meat,91,1281.91,Friday,1,cloudy
2023-02-03,Beans,vegetable,83,154.32,Friday,0,sunny
2023-02-03,Carrot,vegetable,99,206.48,Friday,0,cloudy
2023-02-04,Tuna,fish,47,1881.78,Saturday,0,sunny
2023-02-04,Tomato,vegetable,154,232.78,Saturday,0,cloudy
2023-02-04,Carrot,vegetable,133,316.61,Saturday,0,rainy
2023-02-05,Chicken,meat,94,853.79,Sunday,0,rainy
2023-02-05,Seer Fish,fish,44,2375.91,Sunday,0,rainy
2023-02-06,Seer Fish,fish,38,2122.21,Monday,0,rainy
2023-02-07,Carrot,vegetable,99,223.21,Tuesday,0,cloudy
2023-02-07,Potato,vegetable,160,122.01,Tuesday,0,sunny
2023-02-07,Tomato,vegetable,118,296.99,Tuesday,0,cloudy
